totalRound:1000
                                            (2,8)0,A | (10,K)0,5  = BANKER_WIN | (BET|-200,WIN,BALANCE|10200) BANKER_WIN (HIT)
                                            (2,3)5,4 | 0,4        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10400) PLAYER_WIN (HIT)
                                            (7,5)2,Q | 0,4        = BANKER_WIN | (BET|-200,WIN,BALANCE|10600) BANKER_WIN (HIT)
                                            (9,4)3,K | (5,8)3,5   = BANKER_WIN | (BET|-200,BALANCE|10400) PLAYER_WIN
                                                 4,5 | 0,3        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10600) PLAYER_WIN (HIT)
                                            (A,9)0,J | (4,7)1,4   = BANKER_WIN | (BET|-200,WIN,BALANCE|10800) BANKER_WIN (HIT)
                                            (7,7)4,Q | 4,2        = BANKER_WIN | (BET|-200,BALANCE|10600) PLAYER_WIN
                                                 2,5 | (J,4)4,6   = PLAYER_WIN | (BET|-200,WIN,BALANCE|10800) PLAYER_WIN (HIT)
                                                 6,1 | (Q,Q)0,K   = PLAYER_WIN | (BET|-200,BALANCE|10600) BANKER_WIN
                                            (3,8)1,3 | (J,K)0,3   = PLAYER_WIN | (BET|-200,BALANCE|10400) BANKER_WIN
                                            (A,A)2,J | (Q,2)2,10  = TIE        | (BET|-200,BALANCE|10200) BANKER_WIN
                                            (J,2)2,A | 5,1        = BANKER_WIN | (BET|-200,WIN,BALANCE|10400) BANKER_WIN (HIT)
                                                 5,0 | 2,6        = BANKER_WIN | (BET|-200,BALANCE|10200) PLAYER_WIN
                                           (10,K)0,5 | 8,9        = BANKER_WIN | (BET|-200,BALANCE|10000) PLAYER_WIN
                                                 7,1 | 0,0        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10200) PLAYER_WIN (HIT)
                                                 9,0 | 8,5        = PLAYER_WIN | (BET|-200,BALANCE|10000) BANKER_WIN
                                            (4,K)4,8 | 9,5        = BANKER_WIN | (BET|-200,WIN,BALANCE|10200) BANKER_WIN (HIT)
                                                 0,7 | (K,4)4,Q   = PLAYER_WIN | (BET|-200,WIN,BALANCE|10400) PLAYER_WIN (HIT)
                                            (Q,4)4,8 | 0,7        = BANKER_WIN | (BET|-200,WIN,BALANCE|10600) BANKER_WIN (HIT)
                                                 2,6 | 9,9        = TIE        | (BET|-200,BALANCE|10400) PLAYER_WIN
                                            (4,6)0,3 | (A,9)0,10  = PLAYER_WIN | (BET|-200,WIN,BALANCE|10600) PLAYER_WIN (HIT)
                                            (3,7)0,K | (5,7)2,A   = BANKER_WIN | (BET|-200,WIN,BALANCE|10800) BANKER_WIN (HIT)
                                                 8,3 | 8,1        = BANKER_WIN | (BET|-200,BALANCE|10600) PLAYER_WIN
                                                 2,5 | (2,J)2,Q   = PLAYER_WIN | (BET|-200,WIN,BALANCE|10800) PLAYER_WIN (HIT)
                                                 6,1 | (9,A)0,5   = PLAYER_WIN | (BET|-200,BALANCE|10600) BANKER_WIN
                                            (4,A)5,7 | 0,6        = BANKER_WIN | (BET|-200,WIN,BALANCE|10800) BANKER_WIN (HIT)
                                            (Q,5)5,7 | (2,2)4,A   = BANKER_WIN | (BET|-200,BALANCE|10600) PLAYER_WIN
                                                 4,2 | (5,7)2,Q   = PLAYER_WIN | (BET|-200,WIN,BALANCE|10800) PLAYER_WIN (HIT)
                                                 7,0 | 0,7        = TIE        | (BET|-200,BALANCE|10600) BANKER_WIN
                                                     卡用完了，重新初始化!
                                            (4,K)4,7 | (4,6)0,6   = BANKER_WIN | (BET|-200,WIN,BALANCE|10800) BANKER_WIN (HIT)
                                           (5,10)5,6 | 0,5        = BANKER_WIN | (BET|-200,BALANCE|10600) PLAYER_WIN
                                            (Q,J)0,5 | 0,5        = TIE        | (BET|-200,BALANCE|10400) PLAYER_WIN
                                                 4,8 | 0,8        = BANKER_WIN | (BET|-200,BALANCE|10200) PLAYER_WIN
                                            (J,J)0,3 | 6,1        = BANKER_WIN | (BET|-200,BALANCE|10000) PLAYER_WIN
                                            (4,A)5,K | 8,7        = TIE        | (BET|-200,BALANCE|9800) PLAYER_WIN
                                                 8,5 | 3,6        = BANKER_WIN | (BET|-200,BALANCE|9600) PLAYER_WIN
                                            (5,5)0,6 | (8,2)0,J   = PLAYER_WIN | (BET|-200,WIN,BALANCE|9800) PLAYER_WIN (HIT)
                                            (8,2)0,7 | (8,6)4,10  = PLAYER_WIN | (BET|-200,BALANCE|9600) BANKER_WIN
                                            (K,5)5,9 | (A,A)2,4   = BANKER_WIN | (BET|-200,WIN,BALANCE|9800) BANKER_WIN (HIT)
                                            (3,J)3,3 | (3,7)0,J   = PLAYER_WIN | (BET|-200,WIN,BALANCE|10000) PLAYER_WIN (HIT)
                                                 3,5 | 0,4        = PLAYER_WIN | (BET|-200,BALANCE|9800) BANKER_WIN
                                            (9,4)3,7 | 5,0        = BANKER_WIN | (BET|-200,WIN,BALANCE|10000) BANKER_WIN (HIT)
                                                 9,0 | 2,5        = PLAYER_WIN | (BET|-200,WIN,BALANCE|10200) PLAYER_WIN (HIT)
